Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4,Fluconazole_ribo1,Fluconazole_ribo2,Fluconazole_ribo3,Fluconazole_ribo4,Nodrug_ribo1,Nodrug_ribo2,Nodrug_ribo3,Nodrug_ribo4
C1_00010W,12.44909983,2.727512302,0,3.498289378,1.983966814,0,0,0,12.62858786,9.371166,2.172353889,3.964569666,27.07365724,23.35781867,0.590022365,2.175864379
C1_00020C,0,6.616101535,0.227927925,5.97765952,0,0,0,0,0,0.242619185,0.674906063,0.538873547,21.7290194,3.762784165,0,0
C1_00030C,0,0,0,0,0,0,0,0,0,0.242619185,1.012359094,0.538873547,1.40187222,0,0,0
C1_00040W,7.366966392,4.603105125,6.387218439,2.639579894,1.511365288,5.085035195,9.255696416,0,0.534462606,0.45326075,5.421690964,0.604033589,1.571385184,4.686418005,4.914237057,5.304162744
C1_00050C,0.263572624,0.817341479,0.612432423,0,14.49158368,0,0,44.10256002,1.02492887,0.6519072,0,0,0,1.404227424,0,0
C1_00060W,768.8769759,567.5727917,365.3625595,563.7394992,453.690473,520.4069252,446.4413986,453.0826002,663.6989054,730.5602361,627.0212004,557.8096926,768.2556432,1108.164301,563.3710953,787.2807889
C1_00070W,383.2157688,371.3612903,227.0101075,370.3189185,371.2497901,471.3056467,337.4833441,584.6845402,19.73216854,58.904472,107.0660131,108.5300946,30.94132256,25.95313186,23.01087221,87.03457518
C1_00080C,153.6963685,107.1966455,86.7720803,139.3382257,77.83038717,80.80479665,67.49923337,28.53659803,105.4762268,113.2928714,98.13205696,146.5069596,86.22752553,127.2488067,89.08295261,123.1400845
C1_00090W,2.978523006,11.00221948,2.171244043,10.35331885,8.188163614,0.846555337,3.91552557,0,0,5.922432462,0,2.566657818,0.417320343,4.480540683,0.572969695,4.225956251
C1_00100C,16.6559631,29.08238555,6.043475066,14.06243057,2.406296383,17.8147812,11.62510496,0,0.364686943,9.402093941,0.774304357,12.91429129,11.79446454,25.74185223,1.717490843,9.852428807
C1_00110W,273.5233401,273.8903017,189.6284775,176.9374208,146.3458688,171.2676548,174.2740581,117.7598955,106.7421893,212.6201936,212.5146199,172.3383101,216.1903827,451.2690419,360.6547017,281.3957646
C1_00120C,176.5003581,111.6701837,72.71505908,87.42627615,69.80754029,76.65232157,52.95199697,24.85835242,100.0042599,79.06057451,72.59122377,75.88817865,33.54258419,65.02318581,201.6101198,33.06800378
