Geneid,Fluconazole_ribo1,Fluconazole_ribo2,Fluconazole_ribo3,Fluconazole_ribo4,Nodrug_ribo1,Nodrug_ribo2,Nodrug_ribo3,Nodrug_ribo4
C1_00010W,48,42,7,8,42,81,2,3
C1_00020C,0,1,2,1,31,12,0,0
C1_00030C,0,1,3,1,2,0,0,0
C1_00040W,5,5,43,3,6,40,41,18
C1_00050C,4,3,0,0,0,5,0,0
C1_00060W,11885,15426,9519,5303,5615,18105,8997,5114
C1_00070W,25,88,115,73,16,30,26,40
C1_00080C,1013,1283,799,747,338,1115,763,429
C1_00090W,0,41,0,8,1,24,3,9
C1_00100C,5,152,9,94,66,322,21,49
C1_00110W,1967,4620,3320,1686,1626,7587,5927,1881
C1_00120C,767,715,472,309,105,455,1379,92
C1_00130C,675,985,188,452,244,723,1361,180
C1_00140W,2713,2776,1996,1151,1321,3713,1366,1083
C1_00150C,2821,3124,2025,1130,884,2402,1485,736
C1_00160C,3970,3981,2837,1634,2566,6628,7580,2053
C1_00170W,220,487,137,103,924,2391,2033,848
C1_00180W,10440,11593,8705,4453,9598,20409,29221,7305
C1_00190C,2606,525,256,731,288,238,3684,521
C1_00200C,61,13,1,35,39,6,2,8
C1_00210C,4005,5944,3577,1815,2964,7785,4327,2751
C1_00220W,34021,70425,55799,18830,6301,20566,18363,8459
C1_00230C,453,413,523,147,171,175,44,83
C1_00270W,3,7,2,2,25,2,0,4
C1_00280C,0,0,0,0,0,0,0,0
C1_00290W,6,33,0,9,58,35,30,2
C1_00310W,339,569,380,120,183,1312,348,350
C1_00320W,658,768,521,259,57,469,90,131
C1_00330C,23,392,211,231,149,277,54,117
C1_00340W,250,457,308,161,239,1167,195,333
C1_00350C,1119,2356,1338,393,593,978,76,96
C1_00360W,739,453,243,83,116,142,13,47
C1_00370W,362,114,216,104,127,101,65,31
C1_00380C,1155,1676,1146,794,550,857,1670,359
C1_00390W,1212,702,491,627,270,340,247,85
C1_00400W,5597,8963,6512,3368,871,2737,801,788
C1_00410C,5662,3512,1405,1094,1664,3928,2284,539
C1_00420W,2943,2442,1985,1456,1520,3334,321,1297
C1_00430W,1100,1037,735,455,489,1249,140,345
C1_00440W,2,82,0,33,0,27,2,11
C1_00450C,1527,1115,1156,674,208,462,1475,193
C1_00460W,751,311,231,339,38,119,38,50
C1_00470C,477,953,779,570,258,573,280,176
C1_00480C,2145,2146,1418,710,639,1772,1653,744
C1_00490C,2738,3317,2414,1949,741,6066,1742,1820
C1_00500C,5744,7045,4657,2511,1221,4836,3808,2055
C1_00510W,84,554,319,342,128,195,151,118
C1_00520W,468,507,306,202,140,345,950,140
C1_00530C,1414,1981,920,734,356,669,568,369
