Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4
C1_00010W,46,13,0,14,8,0,0,0
C1_00020C,0,29,1,22,0,0,0,0
C1_00030C,0,0,0,0,0,0,0,0
C1_00040W,67,54,75,26,15,67,113,0
C1_00050C,1,4,3,0,60,0,0,260
C1_00060W,13385,12745,8212,10629,8619,13125,10433,12256
C1_00070W,472,590,361,494,499,841,558,1119
C1_00080C,1435,1291,1046,1409,793,1093,846,414
C1_00090W,17,81,16,64,51,7,30,0
C1_00100C,222,500,104,203,35,344,208,0
C1_00110W,4900,6329,4386,3433,2861,4445,4191,3278
C1_00120C,1316,1074,700,706,568,828,530,288
C1_00130C,1327,1411,1284,825,512,896,863,1023
C1_00140W,2886,4144,3050,2969,2346,4069,3423,4276
C1_00150C,2039,2939,2195,2060,1215,1609,846,1031
C1_00160C,3146,3999,4904,3393,4472,5164,5515,6292
C1_00170W,217,281,407,99,1439,1928,1736,2787
C1_00180W,10417,16495,18653,12943,28584,35436,37305,23421
C1_00190C,1199,2676,3414,2590,6288,6865,5473,7100
C1_00200C,73,140,102,117,161,158,158,8
C1_00210C,3240,3362,3823,2784,3739,5416,5051,6529
C1_00220W,37754,57087,47566,35070,13543,20497,16945,25648
C1_00230C,528,830,837,381,628,681,877,2119
C1_00270W,0,0,0,0,0,0,0,0
C1_00280C,0,0,0,0,0,0,0,0
C1_00290W,0,0,0,5,0,0,0,0
C1_00310W,310,464,340,299,931,1106,631,1054
C1_00320W,720,748,823,655,472,666,459,569
C1_00330C,878,779,1026,533,476,907,1118,633
C1_00340W,293,535,443,199,200,504,382,870
C1_00350C,1166,1684,1360,645,1325,907,1020,71
C1_00360W,257,417,434,164,71,188,308,1
C1_00370W,201,203,250,188,194,224,225,0
C1_00380C,1265,1913,1738,1857,1308,1521,1927,979
C1_00390W,1410,1096,842,1327,688,478,524,1253
C1_00400W,7778,8855,8621,6807,2668,2912,2537,3003
C1_00410C,1257,2132,1589,1662,925,1088,795,557
C1_00420W,1640,1651,1948,1612,1504,1910,2041,6081
C1_00430W,833,1052,836,765,754,702,590,404
C1_00440W,137,127,176,108,143,164,137,96
C1_00450C,1099,2035,2185,1632,1024,1399,1767,616
C1_00460W,832,1252,670,846,590,914,790,1223
C1_00470C,919,1441,1568,1064,742,1082,705,1834
C1_00480C,1663,2483,2363,1601,1366,2672,1899,3205
C1_00490C,3374,3754,4848,3385,2416,4247,4109,8367
C1_00500C,5358,6260,5809,4824,3498,5424,4394,5851
C1_00510W,1124,1081,1463,956,788,976,859,1662
C1_00520W,470,608,566,390,317,615,445,10
C1_00530C,1384,1863,1777,1423,943,1171,1327,3192
C1_00540C,723,1145,1151,608,899,824,756,1054
C1_00550W,699,818,563,444,593,396,422,438
C1_00560W,435,1027,473,577,613,708,810,1316
C1_00570C,1076,1385,1217,1022,603,549,493,3227
C1_00580W,625,690,583,671,451,481,224,1150
C1_00590W,10483,11015,10701,9784,8180,11965,11972,10699
C1_00600W,2234,2775,2187,1833,964,1500,1104,2097
C1_00610W,5021,5371,5410,4644,2474,2925,2093,3012
C1_00620W,1330,1324,1276,914,785,961,811,1298
C1_00630W,954,1169,1218,1104,183,286,478,28
C1_00640C,3771,4553,4912,2794,4822,5505,5074,3181
C1_00650C,2196,2244,1870,1359,1285,2069,1398,1793
C1_00660C,903,1097,1195,749,751,768,525,811
C1_00670C,301,371,272,302,627,517,484,2346
C1_00680W,400,460,721,301,530,462,397,226
C1_00690W,834,1580,1888,1230,824,1012,906,655
C1_00700W,893,1308,1659,951,756,1059,994,856
C1_00710C,7853,12359,12838,8886,8287,11398,11498,14916
C1_00730C,2338,3480,3156,2109,1639,2140,1710,956
C1_00740C,2232,3845,4419,3064,5800,7713,7432,5601
C1_00750C,3379,4063,3266,2862,2015,1892,1237,3293
C1_00760W,742,1280,1363,773,542,855,728,135
C1_00770C,1805,3267,3809,1723,1915,2281,2073,3143
C1_00780C,469,479,622,458,423,379,181,292
C1_00790W,256,324,217,208,182,277,180,8
C1_00800C,3235,4943,4367,2483,1381,2278,1904,459
C1_00810W,312,573,675,421,259,393,388,302
C1_00820W,567,1027,919,572,649,511,498,405
C1_00830W,627,1167,848,606,324,369,275,1128
C1_00840C,845,2077,1373,419,554,1326,863,682
C1_00850W,1313,951,1107,426,442,485,253,945
C1_00860W,387,702,758,590,431,438,224,428
C1_00870W,2396,2763,2529,1734,1321,2020,1603,3124
C1_00880W,53,112,72,54,53,117,166,1
C1_00890W,632,909,1020,792,750,854,665,498
C1_00900W,301,414,414,302,585,733,812,21
C1_00910W,19,14,69,11,2,44,1,0
C1_00920W,906,1613,1718,1011,1238,1219,1223,1051
C1_00930C,7995,9167,9552,7058,6504,8048,6876,11002
C1_00940W,2,119,359,40,78,188,211,0
C1_00950C,2295,3539,4146,3005,4216,4527,5385,3914
C1_00960C,1354,1937,1602,1325,1221,1532,1316,3050
C1_00970W,31,41,39,43,75,46,60,426
C1_00980W,287,614,502,471,737,754,585,783
C1_00990C,1620,2260,2509,1575,1178,1819,1876,1165
C1_01000C,307,425,510,172,147,295,223,0
C1_01010W,2090,2319,2840,1824,1441,1585,1710,2276
C1_01030W,1430,1744,1772,957,1263,1670,1856,1426
C1_01040W,946,1097,1181,886,475,1217,1032,1997
C1_01050C,1098,1805,1632,1260,1435,2683,2136,1265
C1_01060W,6737,7072,6355,5111,6441,6710,6334,5140
C1_01070C,1305,1818,2304,1635,1965,2769,1732,2931
C1_01080W,327,393,398,332,219,241,152,1337
C1_01090C,1069,1052,1436,1416,898,1171,1083,471
C1_01100W,10203,13003,12508,12386,3538,4373,3628,4648
C1_01110C,1231,1648,1856,1365,2382,2704,2626,2542
C1_01130W,1701,1392,1236,993,2172,1411,991,1611
C1_01140C,7119,6598,5677,9679,3769,4406,3709,7382
C1_01150C,474,866,1002,841,700,1361,1107,206
C1_01160C,187,371,409,280,363,624,507,501
C1_01170C,555,724,746,447,655,778,733,20
C1_01180C,202,110,47,134,95,38,77,589
C1_01190C,509,859,902,713,362,728,311,1052
C1_01200W,728,950,1026,928,962,669,636,806
C1_01210W,1034,779,887,716,481,366,200,304
C1_01220C,1025,1020,1164,1304,386,305,334,12
C1_01240W,465,683,751,761,275,200,143,13
C1_01250W,2336,2746,2711,2386,2224,3246,3122,3897
C1_01260C,223,327,245,435,387,266,261,214
C1_01270W,648,1206,1292,1158,626,917,1212,1064
C1_01280C,94,159,288,105,325,264,239,70
C1_01290C,532,1000,904,554,449,470,628,582
C1_01300W,3144,3402,4354,3369,2580,3155,2918,4463
C1_01310W,7,8,0,3,0,14,15,0
C1_01320W,3640,4979,4436,3204,3151,4164,3622,4683
C1_01330C,550,758,714,677,1143,2082,1437,2989
C1_01340C,447,405,704,221,248,276,491,379
C1_01350C,13010,16461,16757,15470,18293,24433,26786,27320
C1_01360C,4097,5166,4677,5654,6880,8885,8567,13252
C1_01370C,5246,6366,7724,4947,13612,21122,23432,17226
C1_01380C,524,753,1003,497,765,816,693,1367
C1_01390C,1516,2151,2084,1212,882,1120,1220,1307
C1_01400C,1895,2513,2042,1912,794,931,610,845
C1_01420C,977,1011,1159,720,376,642,313,1
C1_01440C,9,25,24,57,6,27,39,0
C1_01450W,2621,2158,2564,1893,1428,1859,1518,1733
C1_01460W,1389,2200,2200,1125,918,1398,1080,1140
C1_01470W,1782,1782,2155,1200,2106,2168,1927,1134
C1_01480C,13306,15038,15651,12899,44142,55365,64209,57099
C1_01490W,4724,4621,5520,4824,3978,4824,4016,7634
C1_01500W,0,5,0,1,0,1,2,0
C1_01510W,167,23,53,114,35,11,37,1
C1_01520C,4322,6185,5789,4779,3244,4677,4544,5433
C1_01530C,3153,4592,4941,4476,4563,6773,6918,6250
C1_01540W,859,1419,1506,1497,963,1111,756,768
C1_01550W,894,1237,1190,1066,581,878,981,607
C1_01560W,3503,5006,3772,3071,1313,2431,2176,762
C1_01570C,426,583,650,350,558,898,368,534
C1_01580W,693,1190,1054,606,1516,1453,1275,2012
C1_01590C,7394,9484,9272,7542,6828,10274,9012,7829
C1_01600W,960,1631,1816,1206,1550,2178,2282,2154
C1_01610C,577,864,540,625,535,694,668,1836
C1_01620C,230,396,386,327,477,490,399,617
C1_01630W,850,1541,1380,860,1572,1390,874,3545
C1_01640W,206,207,228,142,118,264,192,1
C1_01650W,1895,2484,2792,2327,1942,2023,1692,2554
C1_01670C,1285,1786,2202,1229,1270,1442,1311,1748
C1_01680C,390,553,557,389,599,1084,711,1264
C1_01690C,7303,10725,7751,6764,6220,8642,7190,5466
C1_01700W,2035,2714,3135,2275,2431,3112,2679,3572
C1_01710W,1133,2049,1960,1876,1573,1613,1682,3027
C1_01740W,191,266,143,332,111,50,20,941
C1_01750W,665,1240,1230,957,924,1335,1078,704
C1_01760W,1092,1410,1131,1263,254,512,404,419
C1_01770W,313,458,542,476,364,422,489,969
C1_01780C,1620,1598,1199,1955,544,689,684,2111
C1_01790W,21,53,2,20,18,71,0,2
C1_01800W,176,370,422,312,348,486,341,0
C1_01810C,2483,3578,2970,2505,1052,1786,1063,2299
C1_01820C,558,700,765,551,401,666,510,285
C1_01830C,2963,2569,2650,3449,1351,1673,1745,3954
C1_01840C,1059,673,823,1407,663,721,689,132
C1_01850C,703,632,514,549,389,338,363,417
C1_01860W,1020,959,1099,634,968,1220,974,842
C1_01870C,3306,4978,5398,4059,3932,5662,6021,8338
C1_01880C,603,1086,699,969,397,659,632,1228
C1_01890C,2287,2577,2123,2432,1417,1451,1167,1445
C1_01900C,712,932,856,732,757,813,796,4
C1_01910W,1029,1432,1712,1152,1136,1799,1515,1300
C1_01920W,1842,2863,2265,2089,993,1266,1113,2900
C1_01930W,116,232,164,199,131,228,36,579
C1_01940C,843,1209,1121,929,872,1143,880,1526
C1_01950C,906,993,764,870,857,1087,1051,2830
C1_01970W,0,0,1,1,0,0,0,0
C1_01980W,3003,2353,2857,5789,389,208,129,401
C1_01990W,10,7,64,21,27,81,0,486
C1_02000W,463,817,914,566,643,697,554,646
C1_02010C,471,671,588,656,322,498,416,1310
C1_02020W,159,207,267,139,104,206,58,482
C1_02030C,362,281,309,292,134,221,123,1257
C1_02040C,2921,2840,3070,3370,1270,950,855,2147
C1_02050C,2883,3314,3402,2537,3118,3661,3077,5845
C1_02060W,392,621,745,632,429,684,988,629
C1_02070W,16,20,0,26,140,116,60,1
C1_02080W,281,460,488,318,397,280,589,637
C1_02090C,215,379,503,321,510,572,468,452
